Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	From
1	Waveform 1	1	51713.631937500	51713.759937500	20.0	500.0	1.0000	Band Limited Energy Detector
1	Spectrogram 1	1	51713.631937500	51713.759937500	20.0	500.0	1.0000	Band Limited Energy Detector
2	Waveform 1	1	68032.351937500	68032.639937500	20.0	500.0	1.0000	Band Limited Energy Detector
2	Spectrogram 1	1	68032.351937500	68032.639937500	20.0	500.0	1.0000	Band Limited Energy Detector
3	Waveform 1	1	68071.615937500	68071.775937500	20.0	500.0	1.0000	Band Limited Energy Detector
3	Spectrogram 1	1	68071.615937500	68071.775937500	20.0	500.0	1.0000	Band Limited Energy Detector
4	Waveform 1	1	68132.223937500	68132.351937500	20.0	500.0	1.0000	Band Limited Energy Detector
4	Spectrogram 1	1	68132.223937500	68132.351937500	20.0	500.0	1.0000	Band Limited Energy Detector
5	Waveform 1	1	75273.599937500	75273.823937500	20.0	500.0	1.0000	Band Limited Energy Detector
5	Spectrogram 1	1	75273.599937500	75273.823937500	20.0	500.0	1.0000	Band Limited Energy Detector
6	Waveform 1	1	75495.519937500	75495.743937500	20.0	500.0	1.0000	Band Limited Energy Detector
6	Spectrogram 1	1	75495.519937500	75495.743937500	20.0	500.0	1.0000	Band Limited Energy Detector
7	Waveform 1	1	76653.119937500	76653.375937500	20.0	500.0	0.8750	Band Limited Energy Detector
7	Spectrogram 1	1	76653.119937500	76653.375937500	20.0	500.0	0.8750	Band Limited Energy Detector
8	Waveform 1	1	130687.167937500	130687.295937500	20.0	500.0	1.0000	Band Limited Energy Detector
8	Spectrogram 1	1	130687.167937500	130687.295937500	20.0	500.0	1.0000	Band Limited Energy Detector
9	Waveform 1	1	133993.407937500	133993.631937500	20.0	500.0	1.0000	Band Limited Energy Detector
9	Spectrogram 1	1	133993.407937500	133993.631937500	20.0	500.0	1.0000	Band Limited Energy Detector
10	Waveform 1	1	134070.911937500	134071.071937500	20.0	500.0	1.0000	Band Limited Energy Detector
10	Spectrogram 1	1	134070.911937500	134071.071937500	20.0	500.0	1.0000	Band Limited Energy Detector
11	Waveform 1	1	134326.047937500	134326.367937500	20.0	500.0	0.9000	Band Limited Energy Detector
11	Spectrogram 1	1	134326.047937500	134326.367937500	20.0	500.0	0.9000	Band Limited Energy Detector
12	Waveform 1	1	134626.207937500	134626.399937500	20.0	500.0	0.8333	Band Limited Energy Detector
12	Spectrogram 1	1	134626.207937500	134626.399937500	20.0	500.0	0.8333	Band Limited Energy Detector
13	Waveform 1	1	134713.055937500	134713.343937500	20.0	500.0	1.0000	Band Limited Energy Detector
13	Spectrogram 1	1	134713.055937500	134713.343937500	20.0	500.0	1.0000	Band Limited Energy Detector
14	Waveform 1	1	134740.959937500	134741.119937500	20.0	500.0	1.0000	Band Limited Energy Detector
14	Spectrogram 1	1	134740.959937500	134741.119937500	20.0	500.0	1.0000	Band Limited Energy Detector
15	Waveform 1	1	134912.287937500	134912.383937500	20.0	500.0	1.0000	Band Limited Energy Detector
15	Spectrogram 1	1	134912.287937500	134912.383937500	20.0	500.0	1.0000	Band Limited Energy Detector
16	Waveform 1	1	134932.863937500	134933.183937500	20.0	500.0	0.9000	Band Limited Energy Detector
16	Spectrogram 1	1	134932.863937500	134933.183937500	20.0	500.0	0.9000	Band Limited Energy Detector
17	Waveform 1	1	138483.871937500	138483.999937500	20.0	500.0	1.0000	Band Limited Energy Detector
17	Spectrogram 1	1	138483.871937500	138483.999937500	20.0	500.0	1.0000	Band Limited Energy Detector
18	Waveform 1	1	143045.183937500	143045.407937500	20.0	500.0	1.0000	Band Limited Energy Detector
18	Spectrogram 1	1	143045.183937500	143045.407937500	20.0	500.0	1.0000	Band Limited Energy Detector
19	Waveform 1	1	144677.119937500	144677.279937500	20.0	500.0	1.0000	Band Limited Energy Detector
19	Spectrogram 1	1	144677.119937500	144677.279937500	20.0	500.0	1.0000	Band Limited Energy Detector
20	Waveform 1	1	146604.959937500	146605.375937500	20.0	500.0	1.0000	Band Limited Energy Detector
20	Spectrogram 1	1	146604.959937500	146605.375937500	20.0	500.0	1.0000	Band Limited Energy Detector
21	Waveform 1	1	146669.311937500	146669.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
21	Spectrogram 1	1	146669.311937500	146669.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
22	Waveform 1	1	146754.367937500	146754.559937500	20.0	500.0	1.0000	Band Limited Energy Detector
22	Spectrogram 1	1	146754.367937500	146754.559937500	20.0	500.0	1.0000	Band Limited Energy Detector
23	Waveform 1	1	146783.423937500	146783.743937500	20.0	500.0	0.9000	Band Limited Energy Detector
23	Spectrogram 1	1	146783.423937500	146783.743937500	20.0	500.0	0.9000	Band Limited Energy Detector
24	Waveform 1	1	146870.495937500	146870.687937500	20.0	500.0	0.8333	Band Limited Energy Detector
24	Spectrogram 1	1	146870.495937500	146870.687937500	20.0	500.0	0.8333	Band Limited Energy Detector
25	Waveform 1	1	147055.007937500	147055.263937500	20.0	500.0	1.0000	Band Limited Energy Detector
25	Spectrogram 1	1	147055.007937500	147055.263937500	20.0	500.0	1.0000	Band Limited Energy Detector
26	Waveform 1	1	147082.047937500	147082.271937500	20.0	500.0	1.0000	Band Limited Energy Detector
26	Spectrogram 1	1	147082.047937500	147082.271937500	20.0	500.0	1.0000	Band Limited Energy Detector
27	Waveform 1	1	147145.567937500	147145.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
27	Spectrogram 1	1	147145.567937500	147145.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
28	Waveform 1	1	147181.055937500	147181.247937500	20.0	500.0	1.0000	Band Limited Energy Detector
28	Spectrogram 1	1	147181.055937500	147181.247937500	20.0	500.0	1.0000	Band Limited Energy Detector
29	Waveform 1	1	147218.399937500	147218.591937500	20.0	500.0	1.0000	Band Limited Energy Detector
29	Spectrogram 1	1	147218.399937500	147218.591937500	20.0	500.0	1.0000	Band Limited Energy Detector
30	Waveform 1	1	147440.991937500	147441.183937500	20.0	500.0	1.0000	Band Limited Energy Detector
30	Spectrogram 1	1	147440.991937500	147441.183937500	20.0	500.0	1.0000	Band Limited Energy Detector
